Date,Time,VSpd(m/s),Alt(m),A2(V),RSSI(dB),RxBt(V),Cels(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-10-11,15:27:42.450,0.0,-0.1,7.1,95,4.1,0.00,2,62,-1024,740,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:42.950,0.0,-0.1,7.0,95,4.1,0.00,2,2,-1024,-999,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:43.450,0.0,-0.2,6.8,94,4.1,0.00,2,12,-1024,1021,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:43.950,0.0,-0.2,6.9,96,4.1,0.00,2,1,-1024,-1021,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:44.450,0.0,-0.1,7.1,97,4.1,0.00,2,4,-1024,1019,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:44.950,0.0,-0.1,7.1,96,4.1,0.00,2,0,-1024,-826,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:45.450,0.0,-0.2,7.2,96,4.1,0.00,2,2,-1024,-927,-532,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:45.950,0.0,-0.1,7.9,96,4.1,0.00,2,-9,-1024,-25,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:46.460,0.0,-0.2,7.9,95,4.1,0.00,1,1,-1024,-2,-532,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:46.960,0.0,-0.2,8.4,96,4.1,0.00,2,1,-1024,-2,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:47.460,0.0,-0.1,8.1,95,4.1,0.00,2,1,-1024,-2,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:47.960,0.0,-0.2,8.2,96,4.1,0.00,1,1,-1024,-2,-532,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:48.460,0.0,-0.2,8.2,96,4.1,0.00,1,1,-1024,-2,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
